# Energy (eV), Counts
9.000000134110450745e+01,1.090600000000000000e+04
9.020000134408473969e+01,1.090400000000000000e+04
9.040000134706497192e+01,1.069800000000000000e+04
9.060000135004520416e+01,1.044400000000000000e+04
9.080000135302543640e+01,1.038000000000000000e+04
9.100000135600566864e+01,1.030400000000000000e+04
9.120000135898590088e+01,1.019400000000000000e+04
9.140000136196613312e+01,1.022700000000000000e+04
9.160000136494636536e+01,1.006700000000000000e+04
9.180000136792659760e+01,1.010900000000000000e+04
9.200000137090682983e+01,1.016800000000000000e+04
9.220000137388706207e+01,9.914000000000000000e+03
9.240000137686729431e+01,9.975000000000000000e+03
9.260000137984752655e+01,9.919000000000000000e+03
9.280000138282775879e+01,9.864000000000000000e+03
9.300000138580799103e+01,9.738000000000000000e+03
9.320000138878822327e+01,9.658000000000000000e+03
9.340000139176845551e+01,9.515000000000000000e+03
9.360000139474868774e+01,9.406000000000000000e+03
9.380000139772891998e+01,9.608000000000000000e+03
9.400000140070915222e+01,9.585000000000000000e+03
9.420000140368938446e+01,9.656000000000000000e+03
9.440000140666961670e+01,9.401000000000000000e+03
9.460000140964984894e+01,8.963000000000000000e+03
9.480000141263008118e+01,8.882000000000000000e+03
9.500000141561031342e+01,8.907000000000000000e+03
9.520000141859054565e+01,8.890000000000000000e+03
9.540000142157077789e+01,8.983000000000000000e+03
9.560000142455101013e+01,9.286000000000000000e+03
9.580000142753124237e+01,9.304000000000000000e+03
9.600000143051147461e+01,9.096000000000000000e+03
9.620000143349170685e+01,8.882000000000000000e+03
9.640000143647193909e+01,8.996000000000000000e+03
9.660000143945217133e+01,8.752000000000000000e+03
9.680000144243240356e+01,8.620000000000000000e+03
9.700000144541263580e+01,8.863000000000000000e+03
9.720000144839286804e+01,8.622000000000000000e+03
9.740000145137310028e+01,8.903000000000000000e+03
9.760000145435333252e+01,8.723000000000000000e+03
9.780000145733356476e+01,8.672000000000000000e+03
9.800000146031379700e+01,8.518000000000000000e+03
9.820000146329402924e+01,8.522000000000000000e+03
9.840000146627426147e+01,8.314000000000000000e+03
9.860000146925449371e+01,8.204000000000000000e+03
9.880000147223472595e+01,8.292000000000000000e+03
9.900000147521495819e+01,8.326000000000000000e+03
9.920000147819519043e+01,8.323000000000000000e+03
9.940000148117542267e+01,8.435000000000000000e+03
9.960000148415565491e+01,8.422000000000000000e+03
9.980000148713588715e+01,8.432000000000000000e+03
1.000000014901161194e+02,8.572000000000000000e+03
1.002000014930963516e+02,8.602000000000000000e+03
1.004000014960765839e+02,8.949000000000000000e+03
1.006000014990568161e+02,9.494000000000000000e+03
1.008000015020370483e+02,1.002800000000000000e+04
1.010000015050172806e+02,1.011300000000000000e+04
1.012000015079975128e+02,1.039500000000000000e+04
1.014000015109777451e+02,1.025500000000000000e+04
1.016000015139579773e+02,1.092800000000000000e+04
1.018000015169382095e+02,1.126000000000000000e+04
1.020000015199184418e+02,1.161600000000000000e+04
1.022000015228986740e+02,1.211400000000000000e+04
1.024000015258789062e+02,1.216100000000000000e+04
1.026000015288591385e+02,1.243600000000000000e+04
1.028000015318393707e+02,1.270000000000000000e+04
1.030000015348196030e+02,1.253400000000000000e+04
1.032000015377998352e+02,1.280700000000000000e+04
1.034000015407800674e+02,1.287700000000000000e+04
1.036000015437602997e+02,1.300700000000000000e+04
1.038000015467405319e+02,1.269500000000000000e+04
1.040000015497207642e+02,1.266700000000000000e+04
1.042000015527009964e+02,1.258700000000000000e+04
1.044000015556812286e+02,1.282200000000000000e+04
1.046000015586614609e+02,1.266500000000000000e+04
1.048000015616416931e+02,1.260900000000000000e+04
